almacenamiento,cpu,departamento,descripcion,dns,estado,hostname,hypervisor,id,ipadmin,ipprod,namekey,ram,servicio,sistema,tipo,ubicacion
16,2,SIO,Portal de aplicaciones frontales php actualizado con nginx,intranet.encontrack.com,True,srvintranetplvfl02,vmware,36,10.190.5.94,10.190.6.94,intranet_portal,2,"php-fpm, nginx",Centos Linux 7.8,virtual,miami
20,4,I+D,Servidor tomcat con diversas aplicaciones,ws2.encontrack.com,True,srvwsplvfl02,vmware,37,10.190.6.37,10.190.5.37,ws2,10,tomcat,Centos Linux 7.8,virtual,miami
20,2,I+D,Servidor tomcat con diversas aplicaciones,ws10.encontrack.com,True,srvwsplvfl10,vmware,38,10.190.6.89,10.190.5.89,ws10,4,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Servidor tomcat con diversas aplicaciones,ws9.encontrack.com,True,srvwsplvfl09,vmware,39,10.190.6.88,10.190.5.88,ws9,4,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Miflotaenvivo frontal,mvf01.encontrack.com,True,srvmfvplvfl01,vmware,40,10.190.5.224,10.190.6.224,mvf01,10,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Miflotaenvivo frontal 2,mvf02.encontrack.com,True,srvmfvplvfl02,vmware,41,10.190.5.91,10.190.6.91,mvf02,9,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Miflotaenvivo backend 01,mvfback01.encontrack.com,True,srvmfvbackplvfl01,vmware,42,10.190.5.215,10.190.6.215,mvf_backend01,6,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Miflotaenvivo backend 02,mvfback02.encontrack.com,True,srvmfvbackplvfl02,vmware,43,10.190.5.216,10.190.6.216,mvf_backend02,6,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,Miflotaenvivo backend 03 servicio movil,mvfback03.encontrack.com,True,srvmfvbackplvfl03,vmware,44,10.190.5.214,10.190.6.214,mvf_backend03,6,tomcat,Centos Linux 7.8,virtual,miami
20,4,I+D,"Servidor nginx con frontales de intranet Robos, etc.",robos.encontrack.com,True,srvphpfrontalplvfl01,vmware,46,10.190.5.92,10.190.6.92,php_nginx,4,tomcat,Centos Linux 7.8,virtual,miami
45,4,I+D,Servidor servicios robos,becontrack.encontrack.com,True,rvbeacontrackplvfl01,vmware,47,10.190.5.213,10.190.6.213,becontrack,11,supervisor,Centos Linux 7.8,virtual,miami
130,6,I+D,Servidor servicios robos,rhetink.encontrack.com,True,dbrethinkplvfl01,vmware,48,10.190.5.211,10.190.6.211,Rhetink,16,supervisor,Centos Linux 7.8,virtual,miami
22,2,I&D,Servidor kafkaconnect 02,kafkaconnect.eps-encontrack.com,True,srvkafkaconnecplvaws02,aws,49,172.31.5.247,172.31.5.247,kafkaconnect_02,16,kafka,Centos 7,virtual,aws
60,4,I+D,KAFKA STREAMS TOOLS SISCOM,kafkastreams01.encontrack.com,True,srvkafkastreamsplvfl01,vmware,50,10.190.5.191,10.190.6.191,kafka-streams-tools01,7,supervisor,Centos Linux 6.9,virtual,miami
60,4,I+D,KAFKA STREAMS TOOLS SISCOM,kafkastreams02.encontrack.com,True,srvkafkastreamsplvfl02,vmware,51,10.190.5.192,10.190.6.192,kafka-streams-tools02,7,supervisor,Centos Linux 6.9,virtual,miami
50,4,I+D,KAFKA STREAMS TOOLS SISCOM 03,kafkastreams03.encontrack.com,True,srvkafkastreamsplvfl03,vmware,52,10.190.5.193,10.190.6.193,kafka-streams-tools03,8,supervisor,Centos Linux 6.9,virtual,miami
50,4,I+D,KAFKA STREAMS TOOLS SISCOM 04,kafkastreams04.encontrack.com,True,srvkafkastreamsplvfl04,vmware,53,10.190.5.199,10.190.6.199,kafka-streams-tools04,8,supervisor,Centos Linux 6.10,virtual,miami
60,4,I+D,KAFKA STREAMS TOOLS SISCOM 06,kafkastreams06.encontrack.com,True,srvkafkastreamsplvfl06,vmware,54,10.190.5.80,10.190.6.80,kafka-streams-tools06,7,supervisor,Centos Linux 6.9,virtual,miami
